setting,domain,domain_short,n_runs,n_per_run,metric,mean_pct,seed_std_pct,values_pct,categories,paths
Baseline,Chat,Chat,1,87,orig_acc,96.55172413793103,,96.551724,alpacaeval-easy;alpacaeval-hard;alpacaeval-length;mt-bench-easy;mt-bench-med;mt-bench-hard;llmbar-natural,results/baseline_qwen7b/eval_results.json
Baseline,Chat,Chat,1,87,swap_acc,91.95402298850574,,91.954023,alpacaeval-easy;alpacaeval-hard;alpacaeval-length;mt-bench-easy;mt-bench-med;mt-bench-hard;llmbar-natural,results/baseline_qwen7b/eval_results.json
Baseline,Chat,Chat,1,87,consistency,93.10344827586206,,93.103448,alpacaeval-easy;alpacaeval-hard;alpacaeval-length;mt-bench-easy;mt-bench-med;mt-bench-hard;llmbar-natural,results/baseline_qwen7b/eval_results.json
Baseline,Chat,Chat,1,87,first_pos_rate,51.14942528735632,,51.149425,alpacaeval-easy;alpacaeval-hard;alpacaeval-length;mt-bench-easy;mt-bench-med;mt-bench-hard;llmbar-natural,results/baseline_qwen7b/eval_results.json
Baseline,Reasoning,Reas.,1,69,orig_acc,78.26086956521739,,78.260870,math-prm,results/baseline_qwen7b/eval_results.json
Baseline,Reasoning,Reas.,1,69,swap_acc,56.52173913043478,,56.521739,math-prm,results/baseline_qwen7b/eval_results.json
Baseline,Reasoning,Reas.,1,69,consistency,63.76811594202898,,63.768116,math-prm,results/baseline_qwen7b/eval_results.json
Baseline,Reasoning,Reas.,1,69,first_pos_rate,60.14492753623188,,60.144928,math-prm,results/baseline_qwen7b/eval_results.json
Baseline,Safety,Safe,1,115,orig_acc,80.8695652173913,,80.869565,xstest-should-respond;xstest-should-refuse;refusals-offensive;refusals-dangerous;donotanswer,results/baseline_qwen7b/eval_results.json
Baseline,Safety,Safe,1,115,swap_acc,83.47826086956522,,83.478261,xstest-should-respond;xstest-should-refuse;refusals-offensive;refusals-dangerous;donotanswer,results/baseline_qwen7b/eval_results.json
Baseline,Safety,Safe,1,115,consistency,90.43478260869566,,90.434783,xstest-should-respond;xstest-should-refuse;refusals-offensive;refusals-dangerous;donotanswer,results/baseline_qwen7b/eval_results.json
Baseline,Safety,Safe,1,115,first_pos_rate,48.26086956521739,,48.260870,xstest-should-respond;xstest-should-refuse;refusals-offensive;refusals-dangerous;donotanswer,results/baseline_qwen7b/eval_results.json
Baseline,Code,Code,1,135,orig_acc,85.18518518518519,,85.185185,hep-cpp;hep-go;hep-java;hep-js;hep-python;hep-rust,results/baseline_qwen7b/eval_results.json
Baseline,Code,Code,1,135,swap_acc,77.77777777777779,,77.777778,hep-cpp;hep-go;hep-java;hep-js;hep-python;hep-rust,results/baseline_qwen7b/eval_results.json
